ID,Product Name,Description,Price,Supplier Name,Supplier Contact,Category Name,Category Description,Image,Amount
14,Generic Item,Standard quality product with good value for money.,7.74,Birla Corporation,support@birlacorporation.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/14/400/300,3397.86
14,Generic Item,Standard quality product with good value for money.,7.74,Wipro Limited,support@wiprolimited.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/14/400/300,3397.86
14,Generic Item,Standard quality product with good value for money.,7.74,Bajaj Electronics,support@bajajelectronics.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/14/400/300,3397.86
15,Denim Jeans,Comfortable fit with premium fabric quality. Machine washable.,5.12,Bajaj Electronics,support@bajajelectronics.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/15/400/300,5022.72
16,Generic Item,Standard quality product with good value for money.,8.28,Wipro Limited,support@wiprolimited.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/16/400/300,1647.72
17,Basic Product,Standard quality product with good value for money.,9.24,Mahindra Supplies,support@mahindrasupplies.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/17/400/300,4869.48
17,Basic Product,Standard quality product with good value for money.,9.24,Hindustan Unilever,support@hindustanunilever.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/17/400/300,4869.48
18,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,7.88,Dabur India,support@daburindia.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/18/400/300,5870.60
18,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,7.88,Asian Paints,support@asianpaints.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/18/400/300,5870.60
18,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,7.88,Bharti Airtel,support@bhartiairtel.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/18/400/300,5870.60
19,Generic Item,Standard quality product with good value for money.,2.41,Mahindra Supplies,support@mahindrasupplies.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/19/400/300,1937.64
19,Generic Item,Standard quality product with good value for money.,2.41,Bharti Airtel,support@bhartiairtel.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/19/400/300,1937.64
20,Basic Product,Standard quality product with good value for money.,5.73,Dabur India,support@daburindia.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/20/400/300,979.83
20,Basic Product,Standard quality product with good value for money.,5.73,Patanjali Ayurved,support@patanjaliayurved.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/20/400/300,979.83
21,Dell XPS,High-quality device with premium features. Includes warranty and after-sales support.,493.53,Reliance Industries,support@relianceindustries.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/21/400/300,435786.99
21,Dell XPS,High-quality device with premium features. Includes warranty and after-sales support.,493.53,Tata Enterprises,support@tataenterprises.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/21/400/300,435786.99
21,Dell XPS,High-quality device with premium features. Includes warranty and after-sales support.,493.53,ITC Limited,support@itclimited.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/21/400/300,435786.99
22,Basic Product,Standard quality product with good value for money.,8.95,HCL Technologies,support@hcltechnologies.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/22/400/300,6086.00
22,Basic Product,Standard quality product with good value for money.,8.95,Patanjali Ayurved,support@patanjaliayurved.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/22/400/300,6086.00
22,Basic Product,Standard quality product with good value for money.,8.95,Bharti Airtel,support@bhartiairtel.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/22/400/300,6086.00
23,Winter Jacket,Comfortable fit with premium fabric quality. Machine washable.,36.48,Bharti Airtel,support@bhartiairtel.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/23/400/300,7733.76
24,Generic Item,Standard quality product with good value for money.,1.32,Reliance Industries,support@relianceindustries.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/24/400/300,913.44
24,Generic Item,Standard quality product with good value for money.,1.32,Hindustan Unilever,support@hindustanunilever.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/24/400/300,913.44
25,Basic Product,Standard quality product with good value for money.,6.99,Bharti Airtel,support@bhartiairtel.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/25/400/300,4795.14
26,Winter Jacket,Comfortable fit with premium fabric quality. Machine washable.,11.10,Dabur India,support@daburindia.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/26/400/300,8125.20
26,Winter Jacket,Comfortable fit with premium fabric quality. Machine washable.,11.10,Asian Paints,support@asianpaints.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/26/400/300,8125.20
27,Basic Product,Standard quality product with good value for money.,3.76,HCL Technologies,support@hcltechnologies.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/27/400/300,3756.24
28,Basic Product,Standard quality product with good value for money.,2.82,Tata Enterprises,support@tataenterprises.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/28/400/300,535.80
28,Basic Product,Standard quality product with good value for money.,2.82,ITC Limited,support@itclimited.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/28/400/300,535.80
29,Dried Fruits,100% natural ingredients. No artificial preservatives.,9.27,Bharti Airtel,support@bhartiairtel.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/29/400/300,2336.04
30,Generic Item,Standard quality product with good value for money.,6.45,ITC Limited,support@itclimited.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/30/400/300,6172.65
31,Dried Fruits,100% natural ingredients. No artificial preservatives.,3.06,Wipro Limited,support@wiprolimited.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/31/400/300,2423.52
31,Dried Fruits,100% natural ingredients. No artificial preservatives.,3.06,Hindustan Unilever,support@hindustanunilever.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/31/400/300,2423.52
32,Samsung Galaxy S23,High-quality device with premium features. Includes warranty and after-sales support.,823.72,Reliance Industries,support@relianceindustries.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/32/400/300,10708.36
32,Samsung Galaxy S23,High-quality device with premium features. Includes warranty and after-sales support.,823.72,Wipro Limited,support@wiprolimited.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/32/400/300,10708.36
33,Dried Fruits,100% natural ingredients. No artificial preservatives.,4.22,Hindustan Unilever,support@hindustanunilever.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/33/400/300,1244.90
33,Dried Fruits,100% natural ingredients. No artificial preservatives.,4.22,Patanjali Ayurved,support@patanjaliayurved.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/33/400/300,1244.90
34,Generic Item,Standard quality product with good value for money.,1.48,Infosys Solutions,support@infosyssolutions.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/34/400/300,291.56
34,Generic Item,Standard quality product with good value for money.,1.48,Patanjali Ayurved,support@patanjaliayurved.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/34/400/300,291.56
34,Generic Item,Standard quality product with good value for money.,1.48,Asian Paints,support@asianpaints.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/34/400/300,291.56
35,Basic Product,Standard quality product with good value for money.,7.10,Reliance Industries,support@relianceindustries.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/35/400/300,6020.80
35,Basic Product,Standard quality product with good value for money.,7.10,ITC Limited,support@itclimited.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/35/400/300,6020.80
36,Atomic Habits,Bestseller with excellent reader reviews. Available in paperback and hardcover.,8.25,Reliance Industries,support@relianceindustries.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/36/400/300,3547.50
36,Atomic Habits,Bestseller with excellent reader reviews. Available in paperback and hardcover.,8.25,Tata Enterprises,support@tataenterprises.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/36/400/300,3547.50
37,Dried Fruits,100% natural ingredients. No artificial preservatives.,6.32,Bajaj Electronics,support@bajajelectronics.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/37/400/300,5030.72
37,Dried Fruits,100% natural ingredients. No artificial preservatives.,6.32,Godrej Industries,support@godrejindustries.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/37/400/300,5030.72
37,Dried Fruits,100% natural ingredients. No artificial preservatives.,6.32,Asian Paints,support@asianpaints.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/37/400/300,5030.72
38,Think and Grow Rich,Bestseller with excellent reader reviews. Available in paperback and hardcover.,7.39,Godrej Industries,support@godrejindustries.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/38/400/300,6643.61
38,Think and Grow Rich,Bestseller with excellent reader reviews. Available in paperback and hardcover.,7.39,Dabur India,support@daburindia.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/38/400/300,6643.61
39,Think and Grow Rich,Bestseller with excellent reader reviews. Available in paperback and hardcover.,8.19,HCL Technologies,support@hcltechnologies.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/39/400/300,7854.21
39,Think and Grow Rich,Bestseller with excellent reader reviews. Available in paperback and hardcover.,8.19,Patanjali Ayurved,support@patanjaliayurved.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/39/400/300,7854.21
40,Dried Fruits,100% natural ingredients. No artificial preservatives.,4.97,Mahindra Supplies,support@mahindrasupplies.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/40/400/300,4791.08
40,Dried Fruits,100% natural ingredients. No artificial preservatives.,4.97,Infosys Solutions,support@infosyssolutions.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/40/400/300,4791.08
40,Dried Fruits,100% natural ingredients. No artificial preservatives.,4.97,Godrej Industries,support@godrejindustries.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/40/400/300,4791.08
41,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,909.42,Reliance Industries,support@relianceindustries.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/41/400/300,476536.08
41,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,909.42,HCL Technologies,support@hcltechnologies.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/41/400/300,476536.08
42,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,3.96,Wipro Limited,support@wiprolimited.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/42/400/300,229.68
42,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,3.96,Bajaj Electronics,support@bajajelectronics.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/42/400/300,229.68
43,Basic Product,Standard quality product with good value for money.,2.65,Birla Corporation,support@birlacorporation.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/43/400/300,1537.00
43,Basic Product,Standard quality product with good value for money.,2.65,Dabur India,support@daburindia.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/43/400/300,1537.00
44,Basic Product,Standard quality product with good value for money.,4.89,Birla Corporation,support@birlacorporation.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/44/400/300,3114.93
44,Basic Product,Standard quality product with good value for money.,4.89,Bajaj Electronics,support@bajajelectronics.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/44/400/300,3114.93
44,Basic Product,Standard quality product with good value for money.,4.89,Asian Paints,support@asianpaints.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/44/400/300,3114.93
45,Generic Item,Standard quality product with good value for money.,9.14,Tata Enterprises,support@tataenterprises.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/45/400/300,2102.20
45,Generic Item,Standard quality product with good value for money.,9.14,Bharti Airtel,support@bhartiairtel.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/45/400/300,2102.20
46,Generic Item,Standard quality product with good value for money.,7.61,Bajaj Electronics,support@bajajelectronics.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/46/400/300,6841.39
47,Basic Product,Standard quality product with good value for money.,7.28,Tata Enterprises,support@tataenterprises.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/47/400/300,640.64
47,Basic Product,Standard quality product with good value for money.,7.28,Dabur India,support@daburindia.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/47/400/300,640.64
47,Basic Product,Standard quality product with good value for money.,7.28,Hindustan Unilever,support@hindustanunilever.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/47/400/300,640.64
48,Generic Item,Standard quality product with good value for money.,5.78,Birla Corporation,support@birlacorporation.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/48/400/300,4722.26
49,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,313.66,Tata Enterprises,support@tataenterprises.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/49/400/300,293585.76
49,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,313.66,Bajaj Electronics,support@bajajelectronics.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/49/400/300,293585.76
49,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,313.66,Bharti Airtel,support@bhartiairtel.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/49/400/300,293585.76
50,MacBook Pro,High-quality device with premium features. Includes warranty and after-sales support.,796.22,Birla Corporation,support@birlacorporation.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/50/400/300,42995.88
50,MacBook Pro,High-quality device with premium features. Includes warranty and after-sales support.,796.22,Godrej Industries,support@godrejindustries.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/50/400/300,42995.88
51,Generic Item,Standard quality product with good value for money.,4.47,Bajaj Electronics,support@bajajelectronics.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/51/400/300,3741.39
52,Basic Product,Standard quality product with good value for money.,2.25,Mahindra Supplies,support@mahindrasupplies.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/52/400/300,2225.25
52,Basic Product,Standard quality product with good value for money.,2.25,HCL Technologies,support@hcltechnologies.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/52/400/300,2225.25
52,Basic Product,Standard quality product with good value for money.,2.25,Hindustan Unilever,support@hindustanunilever.in,Health & Wellness,Quality Health & Wellness from trusted brands,https://picsum.photos/seed/52/400/300,2225.25
53,Generic Item,Standard quality product with good value for money.,9.16,Bajaj Electronics,support@bajajelectronics.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/53/400/300,8821.08
53,Generic Item,Standard quality product with good value for money.,9.16,Patanjali Ayurved,support@patanjaliayurved.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/53/400/300,8821.08
53,Generic Item,Standard quality product with good value for money.,9.16,Asian Paints,support@asianpaints.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/53/400/300,8821.08
54,Dried Fruits,100% natural ingredients. No artificial preservatives.,1.10,Wipro Limited,support@wiprolimited.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/54/400/300,726.00
54,Dried Fruits,100% natural ingredients. No artificial preservatives.,1.10,ITC Limited,support@itclimited.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/54/400/300,726.00
54,Dried Fruits,100% natural ingredients. No artificial preservatives.,1.10,Bharti Airtel,support@bhartiairtel.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/54/400/300,726.00
55,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,973.33,Mahindra Supplies,support@mahindrasupplies.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/55/400/300,72026.42
55,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,973.33,Infosys Solutions,support@infosyssolutions.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/55/400/300,72026.42
55,iPhone 14,High-quality device with premium features. Includes warranty and after-sales support.,973.33,Patanjali Ayurved,support@patanjaliayurved.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/55/400/300,72026.42
56,Samsung Galaxy S23,High-quality device with premium features. Includes warranty and after-sales support.,960.24,Tata Enterprises,support@tataenterprises.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/56/400/300,786436.56
56,Samsung Galaxy S23,High-quality device with premium features. Includes warranty and after-sales support.,960.24,Mahindra Supplies,support@mahindrasupplies.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/56/400/300,786436.56
57,Basic Product,Standard quality product with good value for money.,8.69,Reliance Industries,support@relianceindustries.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/57/400/300,3363.03
57,Basic Product,Standard quality product with good value for money.,8.69,Godrej Industries,support@godrejindustries.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/57/400/300,3363.03
58,Generic Item,Standard quality product with good value for money.,2.09,Hindustan Unilever,support@hindustanunilever.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/58/400/300,403.37
58,Generic Item,Standard quality product with good value for money.,2.09,Asian Paints,support@asianpaints.in,Automotive,Quality Automotive from trusted brands,https://picsum.photos/seed/58/400/300,403.37
59,Basic Product,Standard quality product with good value for money.,3.77,Asian Paints,support@asianpaints.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/59/400/300,682.37
60,Basic Product,Standard quality product with good value for money.,3.65,Tata Enterprises,support@tataenterprises.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/60/400/300,419.75
60,Basic Product,Standard quality product with good value for money.,3.65,Bajaj Electronics,support@bajajelectronics.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/60/400/300,419.75
60,Basic Product,Standard quality product with good value for money.,3.65,Bharti Airtel,support@bhartiairtel.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/60/400/300,419.75
61,Cotton T-Shirt,Comfortable fit with premium fabric quality. Machine washable.,32.71,Mahindra Supplies,support@mahindrasupplies.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/61/400/300,4808.37
61,Cotton T-Shirt,Comfortable fit with premium fabric quality. Machine washable.,32.71,Infosys Solutions,support@infosyssolutions.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/61/400/300,4808.37
61,Cotton T-Shirt,Comfortable fit with premium fabric quality. Machine washable.,32.71,Godrej Industries,support@godrejindustries.in,Clothing,Quality Clothing from trusted brands,https://picsum.photos/seed/61/400/300,4808.37
62,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,5.01,Mahindra Supplies,support@mahindrasupplies.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/62/400/300,3196.38
62,Rich Dad Poor Dad,Bestseller with excellent reader reviews. Available in paperback and hardcover.,5.01,Asian Paints,support@asianpaints.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/62/400/300,3196.38
63,Dark Chocolate,100% natural ingredients. No artificial preservatives.,6.82,Reliance Industries,support@relianceindustries.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/63/400/300,3314.52
64,Generic Item,Standard quality product with good value for money.,9.25,Birla Corporation,support@birlacorporation.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/64/400/300,767.75
64,Generic Item,Standard quality product with good value for money.,9.25,Infosys Solutions,support@infosyssolutions.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/64/400/300,767.75
64,Generic Item,Standard quality product with good value for money.,9.25,Hindustan Unilever,support@hindustanunilever.in,Home & Kitchen,Quality Home & Kitchen from trusted brands,https://picsum.photos/seed/64/400/300,767.75
65,Generic Item,Standard quality product with good value for money.,1.49,Infosys Solutions,support@infosyssolutions.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/65/400/300,928.27
65,Generic Item,Standard quality product with good value for money.,1.49,HCL Technologies,support@hcltechnologies.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/65/400/300,928.27
65,Generic Item,Standard quality product with good value for money.,1.49,Patanjali Ayurved,support@patanjaliayurved.in,Sports & Fitness,Quality Sports & Fitness from trusted brands,https://picsum.photos/seed/65/400/300,928.27
66,MacBook Pro,High-quality device with premium features. Includes warranty and after-sales support.,732.41,Godrej Industries,support@godrejindustries.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/66/400/300,643788.39
66,MacBook Pro,High-quality device with premium features. Includes warranty and after-sales support.,732.41,Dabur India,support@daburindia.in,Electronics,Quality Electronics from trusted brands,https://picsum.photos/seed/66/400/300,643788.39
67,Generic Item,Standard quality product with good value for money.,5.06,Dabur India,support@daburindia.in,Toys & Games,Quality Toys & Games from trusted brands,https://picsum.photos/seed/67/400/300,4923.38
68,The Silent Patient,Bestseller with excellent reader reviews. Available in paperback and hardcover.,6.89,Bharti Airtel,support@bhartiairtel.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/68/400/300,2645.76
69,Generic Item,Standard quality product with good value for money.,7.09,Hindustan Unilever,support@hindustanunilever.in,Beauty & Personal Care,Quality Beauty & Personal Care from trusted brands,https://picsum.photos/seed/69/400/300,4658.13
70,Atomic Habits,Bestseller with excellent reader reviews. Available in paperback and hardcover.,2.20,Infosys Solutions,support@infosyssolutions.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/70/400/300,495.00
70,Atomic Habits,Bestseller with excellent reader reviews. Available in paperback and hardcover.,2.20,Godrej Industries,support@godrejindustries.in,Books,Quality Books from trusted brands,https://picsum.photos/seed/70/400/300,495.00
71,Dark Chocolate,100% natural ingredients. No artificial preservatives.,4.68,Tata Enterprises,support@tataenterprises.in,Food,Quality Food from trusted brands,https://picsum.photos/seed/71/400/300,4586.40
